eleven,eleven,0
eleven,fourteen,0
eleven,sixteen,0
eleven,eighteen,0
eleven,twentysix,4
eleven,thirtyone,64
eleven,fortyone,137
eleven,fiftyone,33
eleven,fiftyfive,20
eleven,sixtyfivePlus,3
fourteen,eleven,0
fourteen,fourteen,0
fourteen,sixteen,0
fourteen,eighteen,1
fourteen,twentysix,0
fourteen,thirtyone,41
fourteen,fortyone,153
fourteen,fiftyone,45
fourteen,fiftyfive,32
fourteen,sixtyfivePlus,6
sixteen,eleven,0
sixteen,fourteen,0
sixteen,sixteen,0
sixteen,eighteen,1
sixteen,twentysix,0
sixteen,thirtyone,29
sixteen,fortyone,164
sixteen,fiftyone,81
sixteen,fiftyfive,49
sixteen,sixtyfivePlus,8
eighteen,eleven,0
eighteen,fourteen,1
eighteen,sixteen,1
eighteen,eighteen,155
eighteen,twentysix,214
eighteen,thirtyone,104
eighteen,fortyone,429
eighteen,fiftyone,309
eighteen,fiftyfive,456
eighteen,sixtyfivePlus,123
twentysix,eleven,4
twentysix,fourteen,0
twentysix,sixteen,0
twentysix,eighteen,214
twentysix,twentysix,699
twentysix,thirtyone,708
twentysix,fortyone,107
twentysix,fiftyone,100
twentysix,fiftyfive,355
twentysix,sixtyfivePlus,139
thirtyone,eleven,64
thirtyone,fourteen,41
thirtyone,sixteen,29
thirtyone,eighteen,104
thirtyone,twentysix,708
thirtyone,thirtyone,1587
thirtyone,fortyone,764
thirtyone,fiftyone,108
thirtyone,fiftyfive,344
thirtyone,sixtyfivePlus,445
fortyone,eleven,137
fortyone,fourteen,153
fortyone,sixteen,164
fortyone,eighteen,429
fortyone,twentysix,107
fortyone,thirtyone,764
fortyone,fortyone,1953
fortyone,fiftyone,1013
fortyone,fiftyfive,917
fortyone,sixtyfivePlus,938
fiftyone,eleven,33
fiftyone,fourteen,45
fiftyone,sixteen,81
fiftyone,eighteen,309
fiftyone,twentysix,100
fiftyone,thirtyone,108
fiftyone,fortyone,1013
fiftyone,fiftyone,851
fiftyone,fiftyfive,1466
fiftyone,sixtyfivePlus,497
fiftyfive,eleven,20
fiftyfive,fourteen,32
fiftyfive,sixteen,49
fiftyfive,eighteen,456
fiftyfive,twentysix,355
fiftyfive,thirtyone,344
fiftyfive,fortyone,917
fiftyfive,fiftyone,1466
fiftyfive,fiftyfive,5862
fiftyfive,sixtyfivePlus,4481
sixtyfivePlus,eleven,3
sixtyfivePlus,fourteen,6
sixtyfivePlus,sixteen,8
sixtyfivePlus,eighteen,123
sixtyfivePlus,twentysix,139
sixtyfivePlus,thirtyone,445
sixtyfivePlus,fortyone,938
sixtyfivePlus,fiftyone,497
sixtyfivePlus,fiftyfive,4481
sixtyfivePlus,sixtyfivePlus,13205
