pd,5,6,7,8,9,10,11,12,13,14
1,515,246,84,32,9,0,11,0,0,0
2,870,342,126,16,9,10,0,12,0,0
3,1250,462,203,80,18,20,0,0,13,0
4,1100,384,126,48,0,20,0,0,0,0
5,610,276,70,32,0,10,0,0,0,0
6,965,360,77,16,18,0,0,0,0,0
7,210,84,28,8,9,10,0,0,0,0
8,865,258,70,32,18,10,0,0,0,0
9,600,402,91,32,18,10,0,0,0,0
10,1090,570,175,64,63,40,11,0,0,0
11,735,270,91,32,18,0,0,0,0,0
12,355,108,63,24,0,0,0,0,0,0
13,1330,588,196,96,18,0,0,0,0,0
14,360,78,0,16,9,0,0,0,0,0
15,500,156,112,32,18,10,0,0,0,0
16,1545,678,231,96,36,10,0,0,0,0
17,80,18,7,0,0,0,0,0,0,0
18,110,42,21,8,0,0,0,0,0,0
19,90,42,7,8,9,0,0,0,0,0
20,530,186,21,16,0,0,0,0,0,0
21,815,300,77,40,9,0,0,12,0,0
22,815,234,77,16,0,0,0,0,0,0
23,615,216,91,16,0,0,0,0,0,0
24,465,150,49,16,0,10,0,0,0,0
25,240,102,14,8,9,0,0,0,0,0
26,125,18,0,0,0,0,0,0,0,0
27,540,216,56,24,18,0,11,0,0,0
28,245,60,14,16,0,0,0,0,0,14
29,1060,396,161,24,18,10,11,0,0,0
30,220,78,7,8,9,0,0,0,0,0
31,2010,1038,266,112,54,20,22,0,0,0
32,105,36,7,0,0,0,0,0,0,0
33,2345,870,301,96,36,10,0,0,0,0
34,425,138,35,8,0,20,0,0,0,0
35,3930,2274,861,248,117,130,55,24,0,0
36,4780,2022,763,192,117,40,0,0,0,0
37,295,180,35,8,0,10,11,0,13,0
38,500,240,63,8,18,0,0,0,0,0
39,995,294,42,56,9,0,0,0,0,0
40,695,204,56,24,0,0,0,0,0,0
41,165,96,35,8,0,0,0,0,0,0
42,90,42,14,0,0,0,0,0,0,0
43,170,18,42,0,0,0,0,0,0,0
44,165,90,21,8,0,0,0,0,0,0
45,400,102,49,8,0,0,0,0,0,0
46,1540,696,168,64,18,0,0,0,0,0
